OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
69,CU,Cupressus spp,Cupressus,spp,,cypress unknown species,cypress unknown species,,evergreen,needleleaved,1,no
85,GIBI,Ginkgo biloba,Ginkgo,biloba,,Ginkgo,Ginkgo,,deciduous,broadleaved,10,yes
198,ROPS,Robinia pseudoacacia,Robinia,pseudoacacia,,Black locust,"locust, Black",,deciduous,broadleaved,287,no
200,SAAM,Salix amygdaloides,Salix,amygdaloides,,Peachleaf willow,"willow, Peachleaf",,deciduous,broadleaved,18,no
31,BENI,Betula nigra,Betula,nigra,,River birch,"birch, River",,deciduous,broadleaved,24,yes
6,ACGL,Acer glabrum,Acer,glabrum,,Rocky Mountain maple,"maple, Rocky Mountain",,deciduous,broadleaved,6,yes
148,POSA,Populus deltoides Monilifera,Populus,deltoides,Monilifera,Plains cottonwood,"cottonwood, Plains",,deciduous,broadleaved,824,yes
208,SOJA,Styphnolobium japonicum,Styphnolobium,japonicum,,Japanese pagoda tree,"pagoda tree, Japanese",,deciduous,broadleaved,0,yes
4,ACCA,Acer campestre,Acer,campestre,,Hedge maple,"maple, Hedge",,deciduous,broadleaved,67,yes
146,POFR,Populus fremontii,Populus,fremontii,,Fremont cottonwood,"cottonwood, Fremont",Valley cottonwood,deciduous,broadleaved,1,no
91,JUMO,Juniperus monosperma,Juniperus,monosperma,,One Seed juniper,"juniper, One Seed",,evergreen,needleleaved,2,yes
253,ACSA2,Acer saccharum,Acer,saccharum,Green Mountain,Green Mountain Sugar maple,"maple, Green Mountain Sugar",,deciduous,broadleaved,0,yes
157,PRDO,Prunus domestica,Prunus,domestica,,European plum,"plum, European",Fruiting plum,deciduous,broadleaved,5,no
28,ALRU2,Alnus rubra,Alnus,rubra,,Red alder,"alder, Red",,deciduous,broadleaved,2,no
23,AEGL,Aesculus glabra,Aesculus,glabra,,Ohio buckeye,"buckeye, Ohio",,deciduous,broadleaved,83,yes
66,CRPH,Crataegus phaenopyrum,Crataegus,phaenopyrum,,Washington hawthorn,"hawthorn, Washington",,deciduous,broadleaved,132,yes
108,MA2,Malus spp,Malus,spp,,crabapple unknown species,crabapple unknown species,,deciduous,broadleaved,121,no
24,AEHI,Aesculus hippocastanum,Aesculus,hippocastanum,,Common horsechestnut,"horsechestnut, Common",,deciduous,broadleaved,78,yes
224,ULAM,Ulmus americana Augustine,Ulmus,americana,Augustine,Augustine elm,"elm, Augustine",,deciduous,broadleaved,5,yes
19,ACTA,Acer tataricum,Acer,tataricum,,Tatarian Maple,"maple, Tatarian",,deciduous,broadleaved,227,yes
187,QUROFA,Quercus robur Fastigiata,Quercus,robur,Fastigiata,Columnar English oak,"oak, Columnar English",Upright English oak,deciduous,broadleaved,57,yes
156,PRCE,Prunus cerasifera,Prunus,cerasifera,,Flowering plum,"plum, Flowering",Cherry plum,deciduous,broadleaved,123,yes
32,BEOC,Betula occidentalis,Betula,occidentalis,,Water birch,"birch, Water",,deciduous,broadleaved,28,yes
222,TSCA,Tsuga canadensis,Tsuga,canadensis,,Eastern hemlock,"hemlock, Eastern",,evergreen,needleleaved,1,no
154,PRAR,Prunus armeniaca,Prunus,armeniaca,,Apricot,Apricot,,deciduous,broadleaved,11,yes
184,QUPH,Quercus phellos,Quercus,phellos,,Willow oak,"oak, Willow",,deciduous,broadleaved,1,no
217,THOC,Thuja occidentalis,Thuja,occidentalis,,Arborvitae,Arborvitae,Northern White cedar,evergreen,needleleaved,25,yes
16,ACSA1,Acer saccharinum,Acer,saccharinum,,Silver maple,"maple, Silver",,deciduous,broadleaved,1646,no
87,GYDI,Gymnocladus dioicus,Gymnocladus,dioicus,,Kentucky coffeetree,"coffeetree, Kentucky",,deciduous,broadleaved,513,yes
43,CASP,Catalpa speciosa,Catalpa,speciosa,,Western catalpa,"catalpa, Western",Northern catalpa,deciduous,broadleaved,871,yes
55,COFL,Cornus florida,Cornus,florida,,Flowering dogwood,"dogwood, Flowering",,deciduous,broadleaved,1,no
50,CEJA,Cercidiphyllum japonicum,Cercidiphyllum,japonicum,,Katsura tree,Katsura tree,,deciduous,broadleaved,2,no
64,CRMO1,Crataegus mollis,Crataegus,mollis,,Downy hawthorn,"hawthorn, Downy",,deciduous,broadleaved,14,yes
119,PIPU,Picea pungens,Picea,pungens,,Blue spruce,"spruce, Blue",,evergreen,needleleaved,1916,yes
44,CAOV3,Catalpa ovata,Catalpa,ovata,,Chinese catalpa,"catalpa, Chinese",,deciduous,broadleaved,61,yes
63,CRLA80,Crataegus laevigata,Crataegus,laevigata,,Smooth hawthorn,"hawthorn, Smooth",English hawthorn,deciduous,broadleaved,3,no
155,PRAV,Prunus avium,Prunus,avium,,Sweet cherry,"cherry, Sweet",,deciduous,broadleaved,8,no
41,CA1,Carya spp,Carya,spp,,hickory unknown species,hickory unknown species,,deciduous,broadleaved,0,no
